,1,2,3,4,5,6
0,32.25,5.76,14.0,4.36,18.0,2.12
1,37.75,5.07,15.5,3.2,14.75,1.79
2,34.5,2.6,20.0,4.74,20.5,2.87
3,23.75,5.36,11.75,6.22,14.25,3.77
4,41.25,3.77,15.0,6.63,11.5,2.69
5,36.75,1.3,13.5,3.35,15.0,2.55
6,37.0,1.22,17.5,4.92,12.5,3.64
7,38.5,7.09,11.5,6.8,16.0,4.74
8,27.5,6.42,16.33,2.62,14.67,3.86
9,26.0,3.61,15.75,2.95,14.25,6.3
10,40.33,1.25,14.75,2.17,15.0,2.45
11,35.0,1.22,17.0,1.22,14.75,3.27
12,35.0,2.92,18.75,3.11,16.5,2.96
13,37.67,8.34,15.0,2.45,14.33,8.18
14,33.25,1.79,15.67,2.87,13.0,3.74
15,32.75,6.94,14.75,2.17,15.0,2.45
16,42.75,4.15,20.25,0.83,12.0,2.12
17,41.5,1.5,11.5,4.61,14.0,4.69
18,33.25,8.64,11.75,7.85,11.75,2.17
19,31.25,4.71,17.25,3.03,17.5,3.77
20,25.5,3.35,13.25,1.09,18.25,1.79
21,32.5,10.5,15.0,1.63,18.67,1.7
22,38.25,0.83,19.0,4.18,15.25,2.38
23,36.25,3.56,19.33,2.36,15.33,1.25
24,42.33,2.87,16.0,2.55,21.0,0.0
25,33.33,2.05,12.25,3.03,18.67,3.3
26,23.67,2.36,9.67,1.25,15.33,4.03
27,37.67,5.44,16.0,1.41,10.0,6.0
28,39.0,3.74,17.5,3.64,13.5,3.2
29,33.5,2.87,11.0,1.22,17.5,3.35
30,36.0,4.24,14.33,0.47,15.67,2.62
31,33.25,2.95,12.75,1.92,12.25,6.87
32,32.25,7.46,17.5,2.6,16.5,3.91
33,39.5,3.84,18.0,2.55,18.0,1.73
34,37.5,1.12,17.75,1.64,16.5,2.69
35,36.75,3.27,11.0,7.0,15.0,4.24
36,29.5,14.5,18.25,1.79,18.25,5.93
37,25.25,7.33,16.5,1.5,21.5,2.87
38,32.33,3.3,15.5,1.5,18.33,5.25
39,39.5,6.54,15.75,1.3,9.25,7.36
40,31.5,4.5,15.0,1.0,15.5,3.5
41,36.0,2.12,14.0,2.55,17.25,2.86
42,33.75,5.36,20.5,2.96,18.75,4.6
43,29.25,2.86,19.75,2.17,18.5,2.06
44,34.75,5.07,17.75,3.42,12.75,3.27
45,38.25,5.76,18.25,3.7,14.0,4.85
46,32.5,3.5,13.0,2.0,19.75,1.48
47,36.5,4.15,16.0,2.74,16.75,2.49
48,29.0,3.67,16.0,2.55,9.25,3.56
49,25.25,4.76,15.0,5.1,14.0,4.12
50,38.33,4.99,14.33,1.7,10.5,3.5
51,34.2,3.6,16.5,2.69,14.75,1.79
52,34.67,6.85,9.5,3.57,14.0,5.35
53,34.0,12.14,16.5,3.35,20.75,2.95
54,28.5,4.72,15.25,4.02,18.5,6.8
55,31.33,6.13,15.33,4.92,15.0,2.12
56,41.0,3.0,17.75,1.79,18.25,2.77
57,31.25,1.3,14.75,5.93,17.5,2.18
58,36.0,3.67,20.75,0.43,16.0,2.24
59,34.0,12.51,19.75,1.09,19.75,4.71
60,30.25,2.59,21.0,1.87,21.25,0.43
61,30.0,3.67,21.25,1.09,21.75,0.83
62,40.67,3.68,22.67,1.89,8.0,4.97
63,36.5,2.29,17.25,3.77,14.75,5.89
64,41.25,3.27,15.25,6.06,23.25,1.48
