,min1,max1,mean1,median1,std1,firstQuartile1,thirdQuartile1,min2,max2,mean2,median2,std2,firstQuartile2,thirdQuartile2,min3,max3,mean3,median3,std3,firstQuartile3,thirdQuartile3,min4,max4,mean4,median4,std4,firstQuartile4,thirdQuartile4,min5,max5,mean5,median5,std5,firstQuartile5,thirdQuartile5,min6,max6,mean6,median6,std6,firstQuartile6,thirdQuartile6,label
0,35.0,47.4,43.95449999999998,44.33,1.558835066353028,43.0,45.0,0.0,1.7,0.4262500000000008,0.47,0.33869037350107334,0.0,0.5,6.5,29.75,22.122354166666664,23.0,3.0309428037022657,19.75,24.0,0.0,4.44,0.49731250000000127,0.43,0.5506572901546093,0.0,0.83,29.0,38.5,35.58845833333335,36.0,1.9996040626699223,35.3625,36.5,0.0,1.79,0.4932916666666676,0.43,0.5135061012349963,0.0,0.94,1.0
1,33.0,47.75,42.17981250000002,43.5,3.670665660998427,39.150000000000006,45.0,0.0,3.0,0.6960416666666683,0.5,0.630860298658193,0.0,1.12,8.5,30.0,22.183625,23.0,3.81046934147179,20.5,24.3725,0.0,5.15,0.9899166666666691,0.83,0.9537303933435255,0.43,1.3,20.0,38.67,33.493916666666664,35.0,3.8494478189457717,30.4575,36.33,0.0,2.18,0.6135208333333356,0.5,0.5243171317817953,0.0,1.0,1.0
2,33.0,45.75,41.6780625,41.75,2.2434900014223933,41.33,42.75,0.0,2.83,0.5359791666666676,0.5,0.40546872227401004,0.43,0.71,3.0,28.25,19.006562499999998,19.125,4.087106879865339,16.5,22.0625,0.0,6.42,0.8418750000000013,0.5,0.9288007313404859,0.43,1.12,23.67,37.5,29.857083333333332,30.0,2.4110263914491896,28.4575,31.25,0.0,1.79,0.38329166666666775,0.43,0.38916429696825316,0.0,0.5,1.0
3,37.0,48.0,43.45495833333334,43.25,1.3860978398519737,42.5,45.0,0.0,1.58,0.37808333333333416,0.47,0.31556635194105126,0.0,0.5,5.75,27.0,15.793333333333333,15.0,3.8476376361687574,13.0,18.27,0.0,10.03,0.8493541666666686,0.5,0.9957614765321261,0.43,1.12,8.0,33.5,23.034791666666667,23.5,2.4888622796595348,22.25,24.0,0.0,5.26,0.6796458333333354,0.5,0.6225337810449345,0.43,0.87,1.0
4,36.25,48.0,43.96912499999999,44.5,1.618363585278194,43.31,44.67,0.0,1.5,0.41312500000000085,0.47,0.2631109551862858,0.43,0.5,1.5,26.33,15.868020833333334,16.25,3.7424202086823684,14.25,18.0,0.0,5.17,0.6663541666666685,0.47,0.7889846012606584,0.0,0.94,11.33,30.75,22.10375,21.67,3.318301138020592,20.5,23.75,0.0,2.96,0.5553125000000018,0.49,0.48782623177856416,0.0,0.83,1.0
5,21.0,50.0,32.58620833333333,33.0,6.238143308694096,26.1875,34.5,0.0,9.9,0.5161250000000009,0.43,0.7899570460825918,0.0,0.8225,0.0,28.25,13.941624999999997,14.25,5.883266339678228,10.0,18.0,0.0,7.4,0.8688958333333346,0.5,1.0270127290851134,0.43,1.12,5.0,33.75,20.34570833333333,19.585,5.032424252830164,17.67,23.5,0.0,13.61,1.1620416666666686,0.83,1.3329799281555914,0.47,1.3,1.0
6,27.5,33.0,29.881937500000003,30.0,1.1538374732456758,29.0,30.27,0.0,1.0,0.25643750000000043,0.0,0.2758331774929298,0.0,0.47,0.0,14.5,8.166249999999998,8.75,3.403612795637969,5.5,11.25,0.0,4.44,0.5446458333333344,0.47,0.6443691219534587,0.0,0.71,11.0,23.25,18.117895833333332,18.0,1.745970352975397,17.0,19.0,0.0,6.4,0.701625,0.71,0.4811028833237033,0.47,0.94,1.0
7,19.0,45.5,30.93810416666667,29.0,7.684145836290816,26.75,38.0,0.0,6.4,0.4671666666666672,0.43,0.7344444546214146,0.0,0.5,0.0,32.75,14.589833333333333,15.75,7.638935151155752,9.6875,20.69,0.0,11.42,0.777541666666668,0.47,1.0141019239937068,0.0,1.12,1.67,36.0,18.38908333333333,17.5,5.845911226863868,15.0,20.8125,0.0,6.73,1.1073541666666684,0.83,1.0808418390239565,0.47,1.3,1.0
8,25.0,47.5,31.058249999999997,29.71,4.829794432361753,27.5,31.8125,0.0,6.38,0.4054583333333343,0.43,0.5666679136463396,0.0,0.5,2.0,28.33,15.296666666666665,15.0,4.841974887092799,13.0,17.75,0.0,5.32,0.8235416666666676,0.5,0.9022479224139838,0.0,1.12,0.0,40.33,14.4071875,13.0,7.853426748722305,9.0,18.3125,0.0,4.92,1.0981041666666689,0.94,0.8314802741671968,0.5,1.3,1.0
9,27.0,45.0,36.81952083333333,36.0,3.9004593674626125,33.75,40.25,0.0,10.47,2.6001458333333343,2.12,1.821403878124711,1.3,3.87,5.67,25.0,15.302625,15.0,3.5049325494806864,12.75,17.67,0.0,10.61,2.937020833333332,2.62,1.661464152814942,1.7,3.87,8.67,24.67,17.296270833333335,17.415,2.781030442687726,15.5,19.27,0.0,8.99,2.8875624999999974,2.525,1.7230941776775113,1.56,3.77,0.0
