,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,32.25,5.76,14.0,4.36,18.0,2.12,33.75,3.9,16.5,4.5,15.33,1.25,37.5,1.5,20.75,0.43,11.0,2.35,41.75,6.14,19.25,2.17,15.5,7.02
1,37.75,5.07,15.5,3.2,14.75,1.79,38.0,1.22,15.33,2.49,13.33,1.25,30.75,6.3,16.5,3.35,14.33,4.78,31.5,3.35,13.33,2.36,15.75,1.92
2,34.5,2.6,20.0,4.74,20.5,2.87,36.25,6.38,13.25,1.79,13.5,1.66,26.25,3.34,19.0,0.71,14.75,1.09,29.75,2.05,17.75,2.17,11.67,0.47
3,23.75,5.36,11.75,6.22,14.25,3.77,29.75,1.64,15.5,1.5,16.5,3.2,37.0,8.92,16.33,5.25,15.33,5.79,28.75,8.47,15.25,4.44,15.25,3.77
4,41.25,3.77,15.0,6.63,11.5,2.69,30.5,3.35,17.75,3.27,16.75,2.95,35.5,5.55,19.75,3.49,21.75,1.3,32.5,3.57,13.0,2.74,15.5,2.29
5,36.75,1.3,13.5,3.35,15.0,2.55,39.75,7.29,16.5,4.5,18.0,2.45,28.0,3.74,17.67,2.87,18.67,7.54,33.5,6.18,15.0,1.87,12.67,6.85
6,37.0,1.22,17.5,4.92,12.5,3.64,34.0,2.35,19.0,2.12,18.33,2.49,43.67,2.62,13.33,1.89,14.5,8.65,32.25,7.6,14.0,1.41,16.0,3.74
7,38.5,7.09,11.5,6.8,16.0,4.74,32.25,7.76,15.75,1.3,18.5,1.5,36.0,5.61,18.25,2.77,18.0,4.24,29.0,1.22,15.0,6.0,14.33,0.47
8,27.5,6.42,16.33,2.62,14.67,3.86,34.67,3.4,14.33,1.7,19.33,4.19,30.75,5.12,16.33,1.89,16.67,4.64,35.67,6.18,16.0,1.41,16.67,1.25
9,26.0,3.61,15.75,2.95,14.25,6.3,29.25,1.48,16.0,4.18,18.0,4.12,35.25,8.32,20.8,1.72,16.0,1.9,37.0,3.24,17.25,3.27,12.5,2.5
10,40.33,1.25,14.75,2.17,15.0,2.45,34.5,5.41,15.25,3.11,19.0,2.45,28.25,7.56,15.0,6.6,12.67,2.62,31.5,5.32,18.0,3.08,15.5,4.03
11,35.0,1.22,17.0,1.22,14.75,3.27,40.25,3.34,19.25,1.64,12.0,4.08,31.25,8.5,22.5,1.12,16.5,2.87,39.0,1.63,14.67,3.4,15.0,2.55
12,35.0,2.92,18.75,3.11,16.5,2.96,34.0,3.74,15.75,5.76,14.67,7.59,38.75,6.72,17.0,4.42,15.25,5.4,31.75,5.76,11.0,5.0,21.33,1.25
13,37.67,8.34,15.0,2.45,14.33,8.18,31.67,4.64,10.0,4.24,19.33,3.68,33.75,3.11,15.5,2.87,16.75,6.18,27.33,1.25,17.33,1.7,15.0,3.0
14,33.25,1.79,15.67,2.87,13.0,3.74,35.0,4.06,13.75,4.21,16.0,3.94,29.5,6.87,18.25,2.38,13.5,5.02,38.5,4.27,12.0,3.74,19.5,1.5
15,32.75,6.94,14.75,2.17,15.0,2.45,23.0,3.67,14.25,2.95,11.0,2.92,35.0,5.05,14.67,6.02,14.33,2.62,34.0,2.83,9.67,7.32,14.5,4.72
16,42.75,4.15,20.25,0.83,12.0,2.12,37.0,6.6,14.75,2.17,18.33,3.09,38.75,2.17,17.0,3.56,17.5,3.91,32.5,3.2,16.25,2.95,16.25,2.28
17,41.5,1.5,11.5,4.61,14.0,4.69,37.0,0.82,7.67,5.44,18.75,1.3,37.75,6.61,10.25,4.87,15.33,2.62,37.25,3.7,11.75,0.43,12.75,6.3
18,33.25,8.64,11.75,7.85,11.75,2.17,33.25,3.77,15.25,3.42,15.75,1.92,36.5,6.42,15.25,2.68,20.75,2.49,28.25,2.49,14.25,4.66,17.5,4.61
19,31.25,4.71,17.25,3.03,17.5,3.77,38.5,2.87,13.0,2.74,16.75,3.56,26.67,0.47,13.5,2.6,19.0,2.0,29.5,4.15,17.75,3.19,16.0,4.06
20,25.5,3.35,13.25,1.09,18.25,1.79,29.75,3.7,13.25,2.59,19.25,3.49,33.25,6.68,15.25,4.44,20.5,7.26,41.0,5.05,15.0,1.41,17.75,1.48
21,32.5,10.5,15.0,1.63,18.67,1.7,28.25,4.55,17.5,2.87,16.0,4.18,39.25,2.17,14.75,3.9,18.25,4.82,34.5,2.6,14.0,3.39,12.25,3.96
22,38.25,0.83,19.0,4.18,15.25,2.38,40.25,6.87,15.5,4.92,19.75,1.3,35.75,1.79,14.5,2.29,21.25,1.92,36.0,0.0,18.67,2.36,16.33,2.36
23,36.25,3.56,19.33,2.36,15.33,1.25,32.75,3.11,12.67,8.5,16.67,0.94,37.5,1.5,13.25,4.76,19.5,4.5,33.25,3.63,13.75,4.02,18.0,3.0
24,42.33,2.87,16.0,2.55,21.0,0.0,35.25,2.86,14.75,3.49,19.75,1.3,28.33,1.89,16.33,3.09,16.75,4.87,27.5,2.87,16.5,2.69,10.5,2.6
25,33.33,2.05,12.25,3.03,18.67,3.3,32.0,4.97,15.5,2.87,19.0,2.83,37.25,4.97,14.5,5.36,19.0,3.24,36.33,3.68,15.75,5.12,6.67,6.65
26,23.67,2.36,9.67,1.25,15.33,4.03,30.0,0.0,17.75,1.79,19.25,3.42,37.5,5.41,16.25,5.58,16.75,3.83,38.0,4.24,14.5,4.15,12.5,4.97
27,37.67,5.44,16.0,1.41,10.0,6.0,35.0,3.67,13.0,5.24,16.25,2.49,28.0,6.04,17.75,2.17,9.75,5.4,35.0,1.41,15.0,1.63,11.5,3.77
28,39.0,3.74,17.5,3.64,13.5,3.2,41.33,3.3,19.0,4.97,22.75,1.09,35.0,8.75,13.75,2.17,18.0,3.67,33.75,3.96,12.25,4.21,20.33,1.25
29,33.5,2.87,11.0,1.22,17.5,3.35,28.5,4.5,21.33,2.05,19.67,0.94,34.75,5.07,14.5,2.87,15.75,5.36,31.75,6.22,9.75,5.93,21.0,0.71
30,36.0,4.24,14.33,0.47,15.67,2.62,33.0,10.39,17.0,3.0,16.0,6.16,28.75,8.23,19.67,3.4,20.75,3.49,29.75,1.79,15.25,2.95,15.75,4.49
31,33.25,2.95,12.75,1.92,12.25,6.87,30.75,6.83,14.0,2.83,22.0,3.54,34.25,5.12,17.67,0.47,18.25,1.92,37.75,5.07,13.67,1.7,21.0,2.24
32,32.25,7.46,17.5,2.6,16.5,3.91,25.5,2.5,14.25,3.7,18.0,3.67,37.0,5.7,16.5,1.66,18.25,1.09,39.25,4.55,21.33,1.25,11.0,6.16
33,39.5,3.84,18.0,2.55,18.0,1.73,33.75,4.44,15.25,3.49,22.0,3.16,31.5,4.5,13.67,1.25,13.33,1.25,32.5,5.12,11.0,7.0,17.67,4.03
34,37.5,1.12,17.75,1.64,16.5,2.69,30.75,4.44,19.0,1.63,7.67,4.78,36.5,7.23,13.0,6.67,9.75,3.11,32.5,9.66,14.0,2.0,16.0,3.67
35,36.75,3.27,11.0,7.0,15.0,4.24,37.5,0.5,22.0,2.24,12.33,2.05,34.25,4.6,12.75,1.92,18.75,1.92,29.75,1.64,15.5,2.18,19.5,2.6
36,29.5,14.5,18.25,1.79,18.25,5.93,41.75,1.79,15.0,4.24,10.33,3.86,25.0,3.54,15.0,4.95,19.75,3.03,29.0,2.92,12.0,0.0,15.0,2.45
37,25.25,7.33,16.5,1.5,21.5,2.87,30.0,4.24,20.0,2.55,15.25,4.26,34.0,2.74,12.75,5.93,12.75,1.3,39.5,3.35,16.25,4.6,16.75,2.49
38,32.33,3.3,15.5,1.5,18.33,5.25,37.0,1.41,18.25,1.79,17.0,6.16,36.0,2.12,13.25,2.17,14.75,2.17,34.5,2.6,14.33,2.05,16.25,3.27
39,39.5,6.54,15.75,1.3,9.25,7.36,41.67,2.36,19.0,1.63,15.5,2.6,37.25,3.27,13.0,2.16,13.0,1.41,35.67,7.54,15.5,4.03,12.5,2.5
40,31.5,4.5,15.0,1.0,15.5,3.5,31.5,7.43,23.0,1.22,16.25,4.76,41.0,6.6,14.0,1.63,15.33,2.05,36.67,1.25,22.0,1.41,16.5,2.6
41,36.0,2.12,14.0,2.55,17.25,2.86,35.5,5.12,20.5,2.29,16.67,1.7,25.5,9.55,15.75,2.86,15.0,5.24,29.0,7.87,14.33,4.11,14.67,2.36
42,33.75,5.36,20.5,2.96,18.75,4.6,35.25,8.58,12.0,5.79,16.25,4.82,28.0,1.63,15.5,7.3,9.67,3.3,40.67,3.68,12.33,5.91,18.25,2.28
43,29.25,2.86,19.75,2.17,18.5,2.06,31.75,5.31,16.0,3.24,17.25,6.98,37.0,1.22,16.25,2.49,14.0,3.39,41.25,3.27,13.75,4.38,20.5,2.18
44,34.75,5.07,17.75,3.42,12.75,3.27,31.25,5.58,16.75,1.09,16.0,3.08,36.0,0.0,17.0,3.74,12.0,5.48,35.5,3.57,13.0,5.39,17.0,3.54
45,38.25,5.76,18.25,3.7,14.0,4.85,42.25,3.27,17.25,3.96,13.5,4.15,36.25,2.86,13.0,1.73,17.75,1.92,36.5,2.87,13.0,2.74,19.5,4.5
46,32.5,3.5,13.0,2.0,19.75,1.48,33.75,5.4,18.0,2.45,19.33,4.64,35.25,4.44,9.5,6.69,16.0,6.68,27.25,3.7,17.0,1.58,16.5,2.06
47,36.5,4.15,16.0,2.74,16.75,2.49,42.0,2.45,13.25,5.97,15.33,2.87,29.5,1.66,14.25,3.34,17.25,3.03,30.0,2.55,16.5,4.03,10.25,4.38
48,29.0,3.67,16.0,2.55,9.25,3.56,36.67,7.13,14.33,6.8,19.0,3.81,37.25,6.14,18.5,0.87,11.5,2.96,39.0,7.04,16.33,2.87,8.0,3.54
49,25.25,4.76,15.0,5.1,14.0,4.12,31.5,3.2,17.75,5.36,18.33,2.49,37.5,4.5,17.75,1.79,17.75,3.83,34.25,1.79,15.5,2.96,16.0,2.74
50,38.33,4.99,14.33,1.7,10.5,3.5,38.5,7.09,15.75,3.11,9.75,4.44,35.0,2.74,13.0,1.58,16.67,1.25,27.75,8.7,18.67,0.47,18.33,3.09
51,34.2,3.6,16.5,2.69,14.75,1.79,40.0,6.0,19.5,3.35,18.25,2.49,37.0,2.83,17.67,2.49,13.67,4.64,34.67,1.89,16.75,2.86,19.0,1.41
52,34.67,6.85,9.5,3.57,14.0,5.35,33.0,4.24,21.0,2.12,21.0,1.87,26.75,8.01,14.67,2.87,15.67,1.7,29.5,1.5,13.5,5.94,16.75,4.02
53,34.0,12.14,16.5,3.35,20.75,2.95,40.5,6.8,14.75,2.38,14.25,6.83,33.25,6.61,16.25,3.9,17.75,3.96,34.0,5.7,16.0,5.7,21.0,0.71
54,28.5,4.72,15.25,4.02,18.5,6.8,30.25,0.43,14.0,2.45,20.75,0.43,41.0,1.41,17.5,0.87,13.67,6.18,38.75,4.92,15.5,4.39,17.5,2.87
55,31.33,6.13,15.33,4.92,15.0,2.12,33.5,5.85,13.75,5.02,16.67,3.68,36.67,0.94,17.33,4.78,15.25,2.17,27.5,5.02,9.25,5.12,16.5,1.5
56,41.0,3.0,17.75,1.79,18.25,2.77,40.0,5.87,14.5,5.5,19.0,1.41,39.33,2.49,9.33,1.25,16.5,1.66,32.0,9.9,12.33,3.86,18.0,0.71
57,31.25,1.3,14.75,5.93,17.5,2.18,31.0,5.61,17.67,3.4,16.67,8.34,34.75,5.58,14.25,2.49,13.0,7.58,38.75,6.38,13.25,1.79,16.5,4.72
58,36.0,3.67,20.75,0.43,16.0,2.24,35.0,6.67,17.75,1.09,15.0,3.08,31.75,3.27,15.25,6.1,16.75,9.12,27.75,3.27,13.75,3.27,15.25,3.27
59,34.0,12.51,19.75,1.09,19.75,4.71,31.0,1.41,14.75,1.79,12.5,2.5,25.5,12.09,12.75,4.32,17.0,4.36,32.5,3.77,14.25,7.29,15.5,4.33
60,30.25,2.59,21.0,1.87,21.25,0.43,29.25,1.3,13.33,3.86,17.0,2.12,39.5,2.6,16.25,2.05,15.25,2.95,37.5,4.5,11.25,1.3,16.75,1.64
61,30.0,3.67,21.25,1.09,21.75,0.83,35.33,3.09,13.0,2.74,17.33,4.71,33.25,3.9,15.75,6.87,15.0,1.87,31.75,5.36,13.75,4.02,13.67,3.68
62,40.67,3.68,22.67,1.89,8.0,4.97,41.33,3.86,14.0,2.83,15.5,4.27,38.75,3.9,16.25,3.96,13.5,5.94,40.25,1.3,11.67,6.02,16.5,5.41
63,36.5,2.29,17.25,3.77,14.75,5.89,30.75,9.68,13.75,2.68,17.25,4.15,34.5,8.08,15.25,2.38,19.0,2.55,29.67,2.05,11.5,5.94,17.75,5.07
64,41.25,3.27,15.25,6.06,23.25,1.48,36.75,2.49,9.5,2.29,16.0,1.58,26.25,3.96,18.25,2.17,18.0,4.3,29.5,5.41,16.25,2.95,18.25,2.17
65,35.25,5.36,18.75,2.86,18.25,4.44,33.25,8.84,15.75,2.49,21.5,2.69,39.25,4.66,15.25,3.27,13.0,5.89,41.5,3.04,16.33,1.25,19.67,1.7
66,28.25,5.72,16.25,6.1,14.5,5.12,25.75,7.66,14.25,6.42,20.5,2.29,37.25,4.76,21.0,4.08,14.75,2.05,36.0,2.45,14.0,1.41,12.0,4.0
67,39.5,3.57,18.75,2.49,15.0,7.58,37.5,5.41,16.5,3.84,16.5,0.87,33.75,3.27,14.67,2.05,16.0,2.83,36.6,3.5,15.25,3.49,14.6,4.72
68,32.25,3.9,18.25,4.26,20.0,2.12,38.25,3.9,16.0,7.0,19.5,1.5,34.0,11.29,15.67,4.99,11.0,4.97,33.75,17.24,15.75,2.49,16.5,8.08
69,35.5,5.41,18.0,4.32,13.33,2.36,35.5,3.35,17.75,3.42,13.0,5.52,38.0,5.1,14.0,6.4,15.67,2.62,28.25,2.49,15.0,6.16,16.25,4.76
70,37.25,7.15,12.25,6.57,17.25,2.86,36.75,11.45,15.67,1.7,14.0,5.66,27.33,2.05,10.0,5.1,15.0,5.89,23.67,2.05,18.0,4.64,14.67,2.05
71,31.5,3.35,12.67,3.3,19.25,1.09,28.0,2.92,14.25,1.09,18.5,4.15,41.25,4.32,10.75,2.68,20.5,2.29,37.25,1.3,18.5,5.68,13.25,3.96
72,35.5,1.5,10.5,5.59,19.25,1.92,23.0,10.22,14.0,2.45,18.75,2.86,37.67,1.25,17.33,4.92,19.25,2.77,35.25,3.27,19.75,2.95,14.33,0.94
73,36.25,3.77,12.25,8.26,20.25,2.59,39.25,3.7,15.25,3.27,17.5,3.28,32.25,6.83,12.75,3.27,12.75,3.96,43.0,2.16,18.67,2.62,14.67,2.49
74,38.5,1.5,18.75,3.9,20.0,0.71,36.67,0.94,14.75,3.63,16.67,1.7,35.5,5.89,14.25,1.48,14.75,8.2,40.0,6.16,19.0,4.0,17.0,4.42
75,36.75,3.27,15.75,0.83,14.0,2.94,35.5,2.69,16.0,2.74,16.0,2.45,28.75,4.09,16.75,5.76,16.0,6.16,30.0,7.1,16.4,5.24,14.0,4.74
76,39.5,8.29,13.5,6.22,18.5,5.12,35.67,8.73,15.33,4.64,13.0,9.42,28.5,5.72,12.25,7.26,20.25,2.28,38.67,2.05,17.0,4.08,20.0,2.74
