,min1,max1,mean1,median1,std1,firstQuartile1,thirdQuartile1,min2,max2,mean2,median2,std2,firstQuartile2,thirdQuartile2,min3,max3,mean3,median3,std3,firstQuartile3,thirdQuartile3,min4,max4,mean4,median4,std4,firstQuartile4,thirdQuartile4,min5,max5,mean5,median5,std5,firstQuartile5,thirdQuartile5,min6,max6,mean6,median6,std6,firstQuartile6,thirdQuartile6,min7,max7,mean7,median7,std7,firstQuartile7,thirdQuartile7,min8,max8,mean8,median8,std8,firstQuartile8,thirdQuartile8,min9,max9,mean9,median9,std9,firstQuartile9,thirdQuartile9,min10,max10,mean10,median10,std10,firstQuartile10,thirdQuartile10,min11,max11,mean11,median11,std11,firstQuartile11,thirdQuartile11,min12,max12,mean12,median12,std12,firstQuartile12,thirdQuartile12,min13,max13,mean13,median13,std13,firstQuartile13,thirdQuartile13,min14,max14,mean14,median14,std14,firstQuartile14,thirdQuartile14,min15,max15,mean15,median15,std15,firstQuartile15,thirdQuartile15,min16,max16,mean16,median16,std16,firstQuartile16,thirdQuartile16,min17,max17,mean17,median17,std17,firstQuartile17,thirdQuartile17,min18,max18,mean18,median18,std18,firstQuartile18,thirdQuartile18,min19,max19,mean19,median19,std19,firstQuartile19,thirdQuartile19,min20,max20,mean20,median20,std20,firstQuartile20,thirdQuartile20,min21,max21,mean21,median21,std21,firstQuartile21,thirdQuartile21,min22,max22,mean22,median22,std22,firstQuartile22,thirdQuartile22,min23,max23,mean23,median23,std23,firstQuartile23,thirdQuartile23,min24,max24,mean24,median24,std24,firstQuartile24,thirdQuartile24,min25,max25,mean25,median25,std25,firstQuartile25,thirdQuartile25,min26,max26,mean26,median26,std26,firstQuartile26,thirdQuartile26,min27,max27,mean27,median27,std27,firstQuartile27,thirdQuartile27,min28,max28,mean28,median28,std28,firstQuartile28,thirdQuartile28,min29,max29,mean29,median29,std29,firstQuartile29,thirdQuartile29,min30,max30,mean30,median30,std30,firstQuartile30,thirdQuartile30,label
0,40.0,45.0,43.87739583333333,44.5,1.2362015206111836,43.125,44.69,0.0,1.0,0.37322916666666656,0.47,0.27684118491775495,0.0,0.5,14.25,25.0,23.0859375,23.875,1.6908238901883244,22.9375,24.0,0.0,2.74,0.4209374999999998,0.43,0.5383915189075504,0.0,0.5,30.0,37.5,35.982708333333335,36.0,1.209152360054168,36.0,36.5,0.0,1.5,0.44354166666666667,0.43,0.4830581945255101,0.0,0.84,38.75,46.5,44.059687499999995,45.0,1.6750676046844064,42.4375,45.25,0.0,1.5,0.36729166666666657,0.43,0.36409506903863104,0.0,0.5,16.5,29.0,23.284479166666667,24.0,2.559724438208419,21.645,24.25,0.0,2.29,0.5459374999999997,0.47,0.4933656232024023,0.0,0.83,32.5,38.5,36.67822916666666,36.5,1.2428490146617215,36.0,37.5,0.0,1.5,0.6572916666666663,0.5,0.489316341905868,0.43,1.0,36.5,47.0,44.545625,45.0,1.6084597486906198,44.0,45.5,0.0,1.48,0.4131249999999998,0.43,0.34077408012378296,0.0,0.5,15.25,29.25,22.587708333333335,22.875,2.97294660817979,20.25,24.0,0.0,2.96,0.508020833333333,0.47,0.5276853524026898,0.0,0.83,29.0,38.33,35.36,36.0,1.9481889025451313,34.5,36.269999999999996,0.0,1.79,0.6751041666666663,0.77,0.6024336518028864,0.0,1.3,35.0,47.4,44.12468749999999,45.0,1.96980894244514,43.4375,45.0,0.0,1.7,0.4153124999999999,0.43,0.4371100141539703,0.0,0.5,6.5,28.0,22.612708333333334,23.875,3.5962745282383763,21.0,24.8125,0.0,4.44,0.7003124999999996,0.5,0.7291876563395011,0.0,0.94,30.0,38.25,33.84739583333334,33.0,2.9333053907411144,31.0,37.0,0.0,1.5,0.5391666666666665,0.5,0.49402464602203106,0.0,0.94,42.33,47.25,43.16510416666667,43.25,0.6492635419687638,42.67,43.5,0.0,1.0,0.5622916666666665,0.5,0.1914074142911242,0.5,0.695,17.0,29.75,19.0409375,18.5,1.6665211657979722,18.0,19.5625,0.0,1.79,0.31135416666666654,0.43,0.3169480109839257,0.0,0.47,35.25,36.67,36.07395833333333,36.0,0.20659382559004472,36.0,36.212500000000006,0.0,1.3,0.15135416666666665,0.0,0.2577212684141193,0.0,0.43,1.0
1,35.75,47.75,44.0328125,45.0,2.9582169961063745,44.0,45.5,0.0,3.0,0.5131249999999997,0.47,0.5466477986688262,0.0,0.5,11.0,30.0,23.03635416666667,23.75,3.6554640053347867,21.9175,24.3725,0.0,3.7,0.6987499999999996,0.485,0.6421514004131982,0.43,1.12,33.0,38.67,36.84854166666667,37.0,1.1791504338353245,36.0,37.69,0.0,1.5,0.738020833333333,0.83,0.5257027773254763,0.30000000000000004,1.24,33.75,47.75,42.88614583333333,44.75,3.7607309955132444,40.4375,45.3725,0.0,2.83,0.7592708333333332,0.5,0.6471886486410469,0.43,1.3,13.25,29.75,23.1840625,23.375,2.9179659743786557,21.0,25.0,0.0,4.77,0.9473958333333329,0.83,0.9170952367369566,0.43,1.3,32.0,38.0,35.896770833333335,36.0,1.549031272690105,35.875,37.0,0.0,1.5,0.5974999999999996,0.5,0.5643962773572632,0.0,1.0,33.0,46.25,42.171458333333334,43.75,3.6951629774374704,39.1875,45.0,0.0,2.49,0.7365624999999998,0.47,0.6568278283177654,0.30000000000000004,1.145,8.5,27.75,22.182187499999998,22.75,3.5073811502166032,20.875,24.3125,0.0,3.27,0.9117708333333329,0.83,0.7307098132229723,0.43,1.27,29.5,37.25,34.330937500000005,35.0,2.108855053852182,33.0,36.0,0.0,1.53,0.5273958333333332,0.43,0.5446162237212097,0.0,1.0225,34.5,45.25,40.81041666666666,41.585,3.2734063753597127,38.4375,43.5,0.0,2.86,0.750520833333333,0.82,0.6307862592230123,0.30000000000000004,1.12,12.0,29.25,21.696145833333333,21.875,3.733158778128691,19.3125,24.5,0.0,4.5,1.1327083333333328,0.905,0.8748431187682398,0.47,1.48,28.0,38.5,32.49833333333333,32.25,2.6830911735559853,30.25,34.125,0.0,2.12,0.6316666666666663,0.47,0.4942845263433362,0.43,0.8875,34.5,45.0,40.99822916666666,42.0,3.6596289702046847,36.9375,44.5,0.0,2.86,0.7207291666666663,0.5,0.6454182565415956,0.0,1.25,9.0,27.5,20.819375,22.25,4.6073286728862755,18.31,24.0,0.0,5.15,1.2589583333333334,0.71,1.35874204915442,0.43,1.7925,20.0,35.5,27.895,27.415,2.9470549081377744,26.25,30.0,0.0,2.18,0.573020833333333,0.47,0.4742131872162821,0.3225,0.84,1.0
2,34.5,45.0,41.16,41.875,2.658177848392431,39.150000000000006,43.0,0.0,1.58,0.5955208333333329,0.5,0.43202551043505133,0.43,0.83,3.0,28.0,19.144270833333334,21.5,5.977549884410337,14.6275,24.0,0.0,5.21,1.1165625,0.7649999999999999,1.1128785133725583,0.3225,1.67,24.0,35.25,29.40520833333333,30.0,2.273814777054385,27.5,30.0625,0.0,1.3,0.4282291666666666,0.43,0.42319584813321687,0.0,0.7374999999999999,33.0,45.75,41.335,42.5,3.822218975246819,38.0,44.5,0.0,2.18,0.7093749999999998,0.5,0.5447525995686868,0.43,1.1824999999999999,3.67,25.67,19.303229166666668,19.675,4.332818578147527,15.9375,24.0,0.0,6.42,1.3020833333333341,1.06,1.3619250436648136,0.43,1.89,23.67,37.5,30.447083333333335,30.0,3.4199935108176875,28.5,32.0,0.0,1.79,0.46979166666666644,0.43,0.4354815342430339,0.0,0.7324999999999999,38.25,45.67,42.72197916666667,42.75,1.3586081266011423,42.0,43.5,0.0,2.83,0.5051041666666664,0.5,0.3993758150748072,0.43,0.71,10.75,28.25,19.574895833333336,18.875,3.9133471996264997,17.25,23.0,0.0,3.64,0.6194791666666662,0.47,0.6284356011753007,0.0,0.8875,27.0,36.0,31.60927083333334,31.67,1.5708718630390324,30.9375,32.0,0.0,1.5,0.41458333333333314,0.43,0.47194539529520874,0.0,0.5,41.25,42.5,41.73489583333333,41.585,0.28954772278836804,41.5,42.0,0.0,0.83,0.34989583333333324,0.47,0.22416391930749766,0.0,0.5,13.0,23.0,19.4340625,20.125,2.2685323695821715,18.0,21.0,0.0,1.92,0.5563541666666666,0.5,0.402994370580159,0.43,0.83,27.5,32.5,29.618958333333335,29.75,1.1083135402532853,28.75,30.0,0.0,0.94,0.30708333333333326,0.43,0.27501929756853,0.0,0.4775,39.25,42.5,41.4384375,41.5,0.4696545833179732,41.33,41.525,0.0,1.12,0.5199999999999998,0.5,0.25615784607398456,0.47,0.5,12.5,24.0,17.576354166666665,17.75,2.5640597413976414,15.6875,19.25,0.0,2.35,0.6148958333333331,0.47,0.47361542202767865,0.43,0.83,26.0,30.5,28.204895833333335,27.585,1.5070081861906444,26.75,29.75,0.0,1.0,0.29677083333333326,0.43,0.26923867240665517,0.0,0.5,1.0
3,41.0,46.75,44.9365625,45.0,0.6234789121913987,45.0,45.0,0.0,1.3,0.09604166666666665,0.0,0.2375244216437399,0.0,0.0,7.75,24.0,17.813437499999996,18.33,2.882201215856418,16.0,20.0,0.0,4.32,0.9447916666666663,0.71,0.7867708543108232,0.43,1.22,19.5,33.5,24.658854166666668,24.0,2.673573547772884,23.5,25.5,0.0,3.04,0.700520833333333,0.5,0.5785542230725551,0.43,0.8875,42.0,48.0,44.16489583333333,44.125,1.0443542399534627,43.5,45.0,0.0,1.09,0.3480208333333332,0.43,0.30461578834455044,0.0,0.5,6.25,27.0,19.572708333333335,19.25,4.230890780703941,16.9375,23.5,0.0,10.03,1.1954166666666666,0.83,1.4420803077620503,0.43,1.4324999999999999,14.0,27.25,22.425208333333334,22.5,2.3883281883124283,21.0,24.0,0.0,5.26,0.9307291666666663,0.82,0.8813079332705538,0.43,1.12,39.0,45.0,42.74229166666666,42.5,1.2184437694445516,42.0,43.525,0.0,1.02,0.4196874999999998,0.47,0.3031360754894704,0.0,0.5,6.5,19.5,14.078854166666666,14.75,2.451022931367173,12.4575,15.5425,0.0,4.5,1.108125,0.83,1.0595801676036358,0.43,1.4849999999999999,10.0,26.25,22.464583333333337,23.0,2.5568483546686784,22.0,23.75,0.0,2.16,0.7271874999999995,0.5,0.4920049274999292,0.43,1.0,42.0,46.5,42.88062500000001,42.5,0.9683570595275491,42.5,42.75,0.0,1.12,0.44062499999999966,0.5,0.238238326051876,0.43,0.5,9.0,21.0,13.749270833333336,14.29,2.1902156802190036,12.0,15.0,0.0,1.79,0.3694791666666666,0.43,0.3496776554475539,0.0,0.5,21.67,26.0,23.210625000000004,23.25,0.7616074586377367,22.6275,23.75,0.0,1.12,0.49718749999999984,0.5,0.2802468953769536,0.43,0.71,37.0,44.25,42.55041666666667,42.75,1.1766714129420703,42.5,43.0,0.0,1.58,0.5860416666666662,0.5,0.27119027760350595,0.47,0.82,5.75,23.25,13.752395833333333,13.125,2.7700551941267837,12.0,15.25,0.0,5.21,0.628958333333333,0.43,0.7590679591885476,0.0,0.87,8.0,25.0,22.4146875,23.5,2.7338879017272317,22.0,24.0,0.0,4.06,0.5426041666666666,0.47,0.634801659520377,0.0,0.71,1.0
4,40.75,45.0,42.731875,42.5,0.9404582449669502,42.0,43.5,0.0,1.12,0.3741666666666666,0.47,0.3143771341178306,0.0,0.5,4.0,26.33,15.974062500000002,15.125,4.319634872026985,13.67,18.0,0.0,5.17,1.0360416666666665,0.83,1.0811314532924496,0.43,1.41,11.33,30.75,24.333541666666665,23.875,5.498170983760569,20.3125,30.0,0.0,2.28,0.5318749999999995,0.43,0.5674417428943237,0.0,0.87,42.0,45.0,43.86895833333333,44.25,0.9249733756244206,43.5,44.5,0.0,1.0,0.4117708333333332,0.47,0.22958999974401353,0.43,0.5,6.5,23.33,15.913124999999999,16.0,2.933762919600193,14.1875,18.0,0.0,2.12,0.5368749999999998,0.47,0.47615634871442447,0.0,0.83,13.0,25.5,22.131145833333335,22.71,2.1139077656479395,21.1875,23.69,0.0,2.17,0.49822916666666645,0.44999999999999996,0.465305773356938,0.0,0.71,36.67,48.0,44.72645833333333,44.585,1.8268408043837323,44.1875,45.0,0.0,1.5,0.3584374999999999,0.47,0.3160024254570475,0.0,0.5,1.5,24.0,16.430729166666666,18.0,4.592494161195422,15.0,18.25,0.0,2.5,0.4711458333333331,0.43,0.6103525638456698,0.0,0.83,16.25,25.5,20.890104166666667,20.0,2.5893549266957416,18.5,24.0,0.0,1.92,0.5735416666666663,0.5,0.41090651816035567,0.43,0.83,36.25,45.0,43.85364583333333,44.5,1.9215674083478211,44.33,44.5,0.0,1.25,0.46333333333333315,0.5,0.15311273223324645,0.43,0.5,5.67,20.0,16.895,17.875,2.2531998299494456,15.9175,18.0,0.0,3.56,0.4428125,0.43,0.6964401256994103,0.0,0.5,16.25,24.75,21.14739583333333,21.0,1.455436447321896,20.5,21.5,0.0,2.96,0.49770833333333303,0.43,0.5145350055436702,0.0,0.83,42.0,48.0,44.66468749999999,44.5,1.3405104708164064,44.150000000000006,45.0,0.0,1.22,0.45791666666666636,0.47,0.2550950975066551,0.43,0.5,3.0,22.0,14.127187500000003,15.0,3.566869098309285,12.0,15.8125,0.0,3.27,0.8448958333333331,0.71,0.7805760285862671,0.30000000000000004,1.3,13.75,26.0,22.016562500000003,22.33,2.1336037357756448,21.5,23.5,0.0,2.62,0.675208333333333,0.71,0.45358450536671974,0.43,0.87,1.0
5,21.0,26.0,24.47010416666667,24.5,1.087533660499434,24.0,25.347499999999997,0.0,1.12,0.43124999999999986,0.47,0.26587789045270177,0.43,0.5,6.4,19.75,13.343437499999999,13.0,2.8286711881711284,11.75,14.8125,0.0,5.89,0.9127083333333332,0.485,1.0454638649816916,0.43,1.22,9.0,33.5,23.467187499999998,24.125,6.17821140922721,19.6275,29.0,0.0,13.61,1.9192708333333341,1.26,2.031535195903084,0.71,2.3925,22.75,50.0,36.43395833333333,42.0,9.275980921789538,26.1875,44.5,0.0,6.5,0.5054166666666664,0.43,0.8007889749841345,0.0,0.5,2.75,26.75,13.850312500000003,15.0,5.751449328212847,8.0,18.0,0.0,6.44,0.8148958333333334,0.47,1.172771790778416,0.0,0.925,7.75,33.75,22.119895833333334,22.25,5.632846806627163,18.4575,25.435,0.0,7.63,1.1293749999999998,0.87,1.0301668873485859,0.47,1.41,32.5,48.0,35.79354166666666,34.5,3.8001839232959744,33.0,36.0625,0.0,9.9,0.7924999999999995,0.47,1.2800378283883873,0.0,1.3,11.33,28.25,18.87822916666667,18.0,4.64672833287695,15.0,23.3725,0.0,7.4,0.7823958333333333,0.47,1.1061433663543907,0.43,0.83,5.0,28.5,20.020208333333333,22.125,5.060404597755246,16.2475,23.67,0.0,7.13,1.2266666666666668,0.83,1.450635916211752,0.47,1.35,27.0,36.0,32.904895833333335,33.0,1.294748904566903,32.75,33.0,0.0,1.5,0.39104166666666657,0.0,0.5309127773871927,0.0,0.5825,3.0,24.33,16.340000000000003,17.125,4.50702118921134,14.125,19.27,0.0,4.92,1.0565625000000003,0.83,1.053410329533758,0.43,1.3725,11.5,23.75,17.216874999999998,17.5,2.492002497464323,15.5,18.75,0.0,4.5,0.8966666666666668,0.82,0.7986391935057462,0.47,1.045,32.67,35.0,33.328541666666666,33.0,0.5348132564720568,33.0,33.75,0.0,1.5,0.4604166666666665,0.0,0.6407707803750539,0.0,1.3,0.0,14.75,7.296145833333335,6.33,4.012356013430111,4.0,10.53,0.0,2.94,0.7779166666666666,0.605,0.6783585710206611,0.43,1.0825,16.5,21.0,18.904375,18.75,0.9217772450400817,18.33,19.5,0.0,1.41,0.6382291666666663,0.5,0.3086745681702458,0.47,0.83,1.0
6,30.5,33.0,31.63947916666667,31.5,0.6658360313275598,31.25,32.25,0.0,1.0,0.5269791666666663,0.5,0.19376665180282493,0.47,0.5,0.0,14.5,8.237604166666666,9.25,4.1908277651862695,5.0,11.3725,0.0,4.44,0.8401041666666668,0.5,0.8919021598355382,0.43,1.0,11.0,23.25,19.060729166666665,18.5,2.3000724221054045,17.75,21.5,0.0,6.4,0.7437499999999996,0.605,0.8257159572790531,0.47,0.83,30.0,32.0,30.234375,30.0,0.46303077651490954,30.0,30.25,0.0,1.0,0.1390625,0.0,0.27446053546241517,0.0,0.0,1.0,14.0,6.705833333333335,7.0,3.4181511366501116,3.5625,9.69,0.0,3.56,0.7006249999999996,0.5,0.7311833415412089,0.43,0.83,12.5,20.5,17.37166666666667,17.5,1.4919818445816981,16.31,18.27,0.0,1.87,0.7185416666666661,0.7849999999999999,0.4087747524561834,0.47,0.94,28.5,30.5,29.384062500000002,29.25,0.510629287974008,29.0,30.0,0.0,0.5,0.176875,0.0,0.2253713310119664,0.0,0.43,2.25,8.0,5.346875,5.5,0.948422859832381,4.75,6.0,0.0,2.06,0.42020833333333324,0.43,0.4262442570483112,0.0,0.5,15.33,19.0,16.581354166666667,16.5,0.790812533233571,16.0,17.0,0.0,1.7,0.7349999999999994,0.83,0.29753018422727473,0.5,1.0,28.25,30.0,29.49104166666666,29.5,0.52275883373274,29.0,30.0,0.0,0.5,0.16,0.0,0.22290427494660942,0.0,0.43,4.25,13.5,10.678020833333335,12.0,2.0874938990351035,9.375,12.0,0.0,2.28,0.27958333333333324,0.0,0.4078129516197,0.0,0.47,15.67,20.33,18.336145833333333,18.5,0.8471753311249488,18.0,18.75,0.0,1.5,0.6013541666666663,0.5,0.3444954198508968,0.47,0.83,27.5,30.0,28.66072916666667,28.67,0.601726017022202,28.25,29.0,0.0,0.87,0.2792708333333332,0.43,0.25702854558514304,0.0,0.47,0.0,13.67,9.862916666666667,10.0,2.1046134370231138,9.0,11.25,0.0,2.5,0.48270833333333324,0.43,0.4605476812086524,0.0,0.71,16.33,21.33,19.23958333333333,19.25,1.1595679019782523,18.5,20.25,0.0,1.48,0.7094791666666663,0.83,0.3122663161357344,0.47,0.94,1.0
7,25.25,35.0,27.42125,27.0,1.609194142878256,27.0,27.25,0.0,1.41,0.20760416666666662,0.0,0.3213843240917793,0.0,0.43,0.0,18.0,4.520625000000001,2.25,4.826086310764385,0.0,9.0,0.0,3.3,0.3726041666666666,0.0,0.6487043683035749,0.0,0.5,13.0,21.0,18.1853125,18.25,1.3125547231699668,17.5,18.69,0.0,1.41,0.6532291666666663,0.5,0.31638249599484763,0.47,0.87,22.0,39.25,35.077604166666674,37.25,4.665753111159895,32.5025,38.67,0.0,4.33,0.854895833333333,0.5,0.9792467511109771,0.0,1.3,0.0,24.0,11.8365625,12.125,6.6858152796758725,6.2475000000000005,17.5625,0.0,4.02,0.9909374999999998,0.71,0.9215057222028692,0.43,1.4849999999999999,5.5,30.0,19.268229166666664,20.125,5.629860986372329,14.6875,24.0,0.0,6.73,1.6194791666666666,1.22,1.5735266256618181,0.45999999999999996,2.4625000000000004,19.0,35.0,21.1546875,21.0,1.6549739722074819,20.67,21.0,0.0,6.4,0.4678124999999998,0.43,0.8241170115245835,0.0,0.5,5.75,25.33,18.70333333333333,18.25,4.207719138782578,16.31,22.27,0.0,5.76,0.9022916666666663,0.485,1.036681425122001,0.0,1.3,1.67,21.5,14.246250000000002,15.5,4.115370226998193,12.1875,17.3725,0.0,4.02,1.1592708333333328,0.94,0.9166899777737713,0.5,1.3,27.0,43.75,29.469375,29.125,2.9420629398612945,27.0,30.33,0.0,2.62,0.28729166666666667,0.0,0.5208585607925413,0.0,0.47,9.0,23.5,15.820416666666668,15.75,2.30586844773192,15.0,16.8125,0.0,4.24,0.6912499999999997,0.47,0.8227543599654186,0.0,0.8875,7.0,21.75,14.7396875,15.0,2.557030536476576,13.73,15.5,0.0,4.15,0.9847916666666673,0.82,0.920118961607015,0.43,1.3,27.67,45.5,41.567604166666676,42.25,4.366998425943497,41.25,45.0,0.0,4.92,0.5182291666666664,0.43,0.6721246669944919,0.0,0.83,7.0,32.75,22.06822916666667,24.0,4.236695582965489,20.25,24.5625,0.0,11.42,0.930625,0.565,1.3802324842309404,0.30000000000000004,1.22,12.75,36.0,25.505937499999998,26.125,5.71066897696528,21.645,29.5625,0.0,5.61,1.1199999999999999,0.83,1.06572140133487,0.4925,1.3,1.0
8,33.0,42.0,38.98583333333333,39.67,2.2762409763590803,38.25,40.67,0.0,1.58,0.6662499999999995,0.5,0.410353506138305,0.47,0.94,8.0,24.33,21.341145833333332,22.5,3.3631031628203027,19.9375,24.0,0.0,3.49,0.638645833333333,0.44999999999999996,0.7222532283605195,0.0,1.0,11.67,30.67,25.8796875,27.0,4.110432030853102,23.73,29.25,0.0,3.74,0.7817708333333329,0.71,0.7076246325659071,0.43,0.9025,25.0,47.5,31.54697916666667,30.0,4.315574760718546,30.0,30.5,0.0,6.38,0.5114583333333332,0.0,0.9994535129566573,0.0,0.5,2.33,28.33,14.758333333333335,14.75,5.5779088076685746,10.875,18.0625,0.0,5.32,1.0429166666666665,0.83,1.0157734068359383,0.43,1.25,0.0,40.33,14.3140625,11.875,8.719411083218747,8.67,20.1875,0.0,3.74,1.1874999999999996,0.94,0.8614553169827759,0.5,1.5925,28.0,32.0,29.588333333333335,29.5,0.741406439661762,29.25,30.0,0.0,1.41,0.31208333333333327,0.43,0.33748892119568114,0.0,0.47,2.0,19.0,12.225624999999999,13.5,3.99971494050053,10.6275,15.0,0.0,4.44,1.0247916666666668,0.83,0.8970149082451387,0.47,1.4849999999999999,0.0,15.75,9.96625,10.0,3.367017499524656,8.0,12.5,0.0,4.92,1.2943750000000003,1.09,0.9961597974749146,0.82,1.5,26.75,33.0,27.877708333333334,27.5,1.183113180657546,27.0,28.19,0.0,2.18,0.3064583333333332,0.43,0.3597864254385156,0.0,0.47,10.0,19.0,14.455520833333333,14.75,1.527808109879652,13.75,15.0625,0.0,5.15,0.7128124999999997,0.47,0.958289817852616,0.0,0.83,8.0,18.25,13.349479166666667,13.67,1.9501607867809894,13.0,14.5,0.0,2.24,0.9662499999999997,1.0,0.4609401148453932,0.5,1.3,25.0,30.75,27.292395833333334,27.0,1.172903500128649,26.75,27.7525,0.0,0.94,0.23104166666666662,0.0,0.28089510747520813,0.0,0.47,2.75,18.67,13.702708333333334,14.25,2.7256448697767555,12.73,15.0,0.0,4.5,0.6985416666666667,0.47,0.8220986996278636,0.0,0.83,0.0,16.5,8.526458333333334,8.33,3.7276279967904715,6.0,11.3125,0.0,4.5,1.2606249999999994,1.0,0.9197205668313785,0.6575,1.645,1.0
9,30.67,44.0,37.009479166666665,35.75,3.7719771082052667,33.787499999999994,40.69,0.0,7.02,2.5690625000000016,2.12,1.6510226994040293,1.3,3.785,6.0,24.0,15.044166666666667,14.585,3.3753205435824642,12.9375,17.0,0.0,7.52,3.0150000000000006,2.62,1.6081561851354713,1.87,4.0675,8.67,22.0,16.92666666666667,17.25,2.8078284048134403,15.0,19.0,0.0,8.34,2.7218750000000003,2.49,1.6933842244390223,1.41,3.7175000000000002,29.67,43.75,36.75010416666667,36.46,3.595641658508744,33.75,39.75,0.0,10.47,2.8359375000000004,2.47,1.9655916897436947,1.3,4.0825000000000005,7.33,19.25,13.9815625,13.835,2.5927730848913186,12.25,16.0,0.0,7.04,2.6809375000000006,2.525,1.5577007875137805,1.495,3.5725,11.25,21.75,17.140833333333337,17.415,2.0743215335529355,15.9375,18.5425,0.43,8.38,2.5404166666666668,2.12,1.5482444500765962,1.41,3.36,28.33,43.5,36.53552083333333,35.625,3.9825355239547338,33.5,40.212500000000006,0.0,7.85,2.610208333333333,1.955,1.8771220856836668,1.2425,4.0600000000000005,5.67,19.33,13.303645833333336,13.165,3.0119869713116083,11.0,15.0825,0.0,6.61,2.6225,2.525,1.454301785810128,1.5,3.56,10.67,23.0,16.992708333333333,17.0,2.736064203296663,15.1875,19.25,0.0,8.99,2.650833333333334,2.47,1.6211968721428047,1.4775,3.5625,27.0,45.0,36.72354166666667,36.0,4.186151851588927,33.4375,40.3125,0.0,9.49,2.4530208333333334,2.0549999999999997,1.8158298783007794,1.2425,3.6475,6.33,21.25,16.228125000000002,16.625,2.955700402344773,14.1875,18.3125,0.0,8.14,3.1645833333333333,2.98,1.5511957470332476,2.05,4.0225,11.0,24.5,18.46291666666667,18.875,2.8700496664203032,16.585,20.5,0.0,8.62,3.1519791666666683,2.8449999999999998,1.870100261760072,1.775,4.2075000000000005,30.25,44.25,37.07895833333333,36.33,3.995925155815258,33.6875,41.0625,0.0,7.3,2.5325000000000006,1.745,1.7981194855210614,1.2425,3.7,11.75,25.0,17.955624999999998,17.415,3.488465146586299,15.5,20.0625,0.47,10.61,3.202083333333334,2.6,2.022137439582534,1.6824999999999999,4.32,11.0,24.67,16.95822916666667,16.875,3.0561268900329472,14.6875,18.895,0.0,8.57,3.372708333333334,3.045,1.7508479023584498,2.17,4.35,2.0
